candidate_id,rank,positive_id,positive_name,unit_description,output_image
mol_0710,1,mol_0041,PKI-166,heteroaromatic core,mol_0710__top1__vs_PKI-166_mol_0041__semantic_common_units.png
mol_0710,2,mol_0013,OLMUTINIB,heteroaromatic core; carbonyl/amide linker,mol_0710__top2__vs_OLMUTINIB_mol_0013__semantic_common_units.png
mol_0710,3,mol_0012,TAK-285,heteroaromatic core,mol_0710__top3__vs_TAK-285_mol_0012__semantic_common_units.png
mol_0882,1,mol_0012,TAK-285,heteroaromatic core,mol_0882__top1__vs_TAK-285_mol_0012__semantic_common_units.png
mol_0882,2,mol_0045,PD-0166285,heteroaromatic core,mol_0882__top2__vs_PD-0166285_mol_0045__semantic_common_units.png
mol_0882,3,mol_0039,NAQUOTINIB,heteroaromatic core,mol_0882__top3__vs_NAQUOTINIB_mol_0039__semantic_common_units.png
mol_0116,1,mol_0010,AZD-4769,heteroaromatic core,mol_0116__top1__vs_AZD-4769_mol_0010__semantic_common_units.png
mol_0116,2,mol_0028,ALLITINIB,heteroaromatic core; carbonyl/amide linker,mol_0116__top2__vs_ALLITINIB_mol_0028__semantic_common_units.png
mol_0116,3,mol_0013,OLMUTINIB,heteroaromatic core,mol_0116__top3__vs_OLMUTINIB_mol_0013__semantic_common_units.png
mol_0487,1,mol_0006,GEFITINIB,heteroaromatic core,mol_0487__top1__vs_GEFITINIB_mol_0006__semantic_common_units.png
mol_0487,2,mol_0003,PYROTINIB,carbonyl/amide linker,mol_0487__top2__vs_PYROTINIB_mol_0003__semantic_common_units.png
mol_0487,3,mol_0043,TESEVATINIB,heteroaromatic core,mol_0487__top3__vs_TESEVATINIB_mol_0043__semantic_common_units.png
mol_0394,1,mol_0012,TAK-285,heteroaromatic core,mol_0394__top1__vs_TAK-285_mol_0012__semantic_common_units.png
mol_0394,2,mol_0031,ICOTINIB,heteroaromatic core,mol_0394__top2__vs_ICOTINIB_mol_0031__semantic_common_units.png
mol_0394,3,mol_0041,PKI-166,heteroaromatic core,mol_0394__top3__vs_PKI-166_mol_0041__semantic_common_units.png
mol_0017,1,mol_0037,MOBOCERTINIB,heteroaromatic core,mol_0017__top1__vs_MOBOCERTINIB_mol_0037__semantic_common_units.png
mol_0017,2,mol_0002,NERATINIB,heteroaromatic core,mol_0017__top2__vs_NERATINIB_mol_0002__semantic_common_units.png
mol_0017,3,mol_0000,DACOMITINIB ANHYDROUS,heteroaromatic core,mol_0017__top3__vs_DACOMITINIB_ANHYDROUS_mol_0000__semantic_common_units.png
mol_0747,1,mol_0007,CANERTINIB,heteroaromatic core; carbonyl/amide linker,mol_0747__top1__vs_CANERTINIB_mol_0007__semantic_common_units.png
mol_0747,2,mol_0040,ERLOTINIB,heteroaromatic core,mol_0747__top2__vs_ERLOTINIB_mol_0040__semantic_common_units.png
mol_0747,3,mol_0013,OLMUTINIB,heteroaromatic core; carbonyl/amide linker,mol_0747__top3__vs_OLMUTINIB_mol_0013__semantic_common_units.png
