Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL3622821,UPADACITINIB,4,380.37,0,2.91,EUB0000644a,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,IC50,'=',649,nM,6.19,,,UO_0000065,,,,,0,CHEMBL5445924,Affinity Phenotypic Cellular interaction: (Cytokine potency assay (cytokine EPO,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3622821,UPADACITINIB,4,380.37,0,2.91,6,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,IC50,'=',47,nM,7.33,,,UO_0000065,,,,,0,CHEMBL4377379,Inhibition of GST-fused recombinant human JAK1 catalytic domain (845-1142 residues) expressed in Sf9 cells in presence of 0.1 mM ATP,A,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4376812,1,Scientific Literature,J Med Chem,2019,CHEMBL3308860,,,,47
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,INCB018424,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',6,nM,8.22,,,UO_0000065,,,,,1,CHEMBL4685359,Inhibition of recombinant epitope tagged JAK1 (837 to 1142 residues) (unknown origin) using Chk2 as substrate by HTRF assay,A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4680201,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR,,6
CHEMBL3301607,FILGOTINIB,4,425.51,0,1.98,filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,IC50,'=',10,nM,8,,,UO_0000065,18.8,0.36,6.02,8.28,1,CHEMBL3625889,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621116,1,Scientific Literature,J Med Chem,2015,None,,,,10
CHEMBL2105759,BARICITINIB,4,371.43,0,1.1,6,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,IC50,'=',4,nM,8.4,,,UO_0000065,22.61,0.44,7.3,6.97,0,CHEMBL3301297,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297690,1,Scientific Literature,J Med Chem,2014,None,,,,4
CHEMBL3301607,FILGOTINIB,4,425.51,0,1.98,8,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,IC50,'=',363,nM,6.44,,,UO_0000065,15.13,0.29,4.46,6.66,0,CHEMBL3301297,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3297690,1,Scientific Literature,J Med Chem,2014,None,,,,363
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,Xelianz,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',15,nM,7.82,,,UO_0000065,25.05,0.46,6.28,8.8,1,CHEMBL3803215,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3797141,1,Scientific Literature,Bioorg Med Chem,2016,None,,,,15
CHEMBL221959,TOFACITINIB,4,312.38,0,1.54,1,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,'=',124,nM,6.91,,,UO_0000065,22.11,0.41,5.37,7.77,0,CHEMBL4033006,Inhibition of JAK1 in IL6-stimulated human ME180 cells expressing stably integrated beta-lactamase reporter gene under control of sis-inducible element by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4028908,1,Scientific Literature,J Med Chem,2017,None,,,,124
CHEMBL2105759,BARICITINIB,4,371.43,0,1.1,baricitinib,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,IC50,'=',6,nM,8.22,,,UO_0000065,22.14,0.43,7.12,6.82,0,CHEMBL3625889,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3621116,1,Scientific Literature,J Med Chem,2015,None,,,,6
CHEMBL1789941,RUXOLITINIB,4,306.37,0,3.47,2,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',38,nM,7.42,,,UO_0000065,24.22,0.44,3.95,8.92,0,CHEMBL4145180,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4138312,1,Scientific Literature,J Med Chem,2018,None,,,,0.038
