Parent Molecule ChEMBL ID,Parent Molecule Name,Parent Molecule Type,Max Phase,First Approval,USAN Stem,Smiles,Mechanism of Action,Mechanism Comment,Selectivity Comment,Target ChEMBL ID,Target Name,Action Type,Target Type,Target Organism,Binding Site Name,Binding Site Comment,References,Synonyms,Parent Molecule ChEMBL ID
CHEMBL3545249,GLPG-0555,Small molecule,1,None,,None,Tyrosine-protein kinase JAK1 inhibitor,Backup to GSK-2586184 (GLPG-0778),,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL3545249': [{'ref_id': 'http://www.glpg.com/glpg-0778-555',,
CHEMBL4577523,GOLIDOCITINIB,Small molecule,2,None,'-tinib',COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL4577523': [{'ref_id': '32297743',,
CHEMBL4297477,BREPOCITINIB,Small molecule,3,None,'-tinib',Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,Tyrosine-protein kinase JAK1 inhibitor,,Lower activity against Jak2,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL4297477': [{'ref_id': '29266308',,
CHEMBL3622820,ITACITINIB,Small molecule,3,None,'-tinib',N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,Tyrosine-protein kinase JAK1 inhibitor,The compound is thought to be JAK1 selective but no selectivity data available.,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL3622820': [{'ref_id': '24766055',,
CHEMBL4116008,CERDULATINIB,Small molecule,2,None,'-tinib',CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,Tyrosine-protein kinase JAK1 inhibitor,Dual spleen tyrosine kinase (Syk) and janus kinase (JAK) inhibitor ,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL4116008': [{'ref_id': 'https://www.portola.com/clinical-development/cerdulatinib-dual-syk-jak-inhibitor/l-development/cerdulatinib-dual-syk-jak-inhibitor/',,
CHEMBL1789941,RUXOLITINIB,Small molecule,4,2011,'-tinib',N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL1795071': [{'ref_id': 'label/2012/202192s001lbl.pdf',,
CHEMBL2105759,BARICITINIB,Small molecule,4,2017,'-tinib',CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL2105759': [{'ref_id': '20363976',,
CHEMBL3301606,SOLCITINIB,Small molecule,2,None,'-tinib',CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL3301606': [{'ref_id': 'http://www.glpg.com/glpg-0778-555',,
CHEMBL3301607,FILGOTINIB,Small molecule,4,2020,'-tinib',O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,Tyrosine-protein kinase JAK1 inhibitor,JAK1 preferential inhibitory activity,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL4298167': [{'ref_id': 'https://www.ema.europa.eu/en/documents/product-information/jyseleca-epar-product-information_en.pdf',,
CHEMBL1078178,MOMELOTINIB,Small molecule,4,2023,'-tinib',N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL1078178': [{'ref_id': '19295546',,
CHEMBL3655081,ABROCITINIB,Small molecule,4,2021,'-tinib',CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL3655081': [{'ref_id': 'https://www.pfizer.com/sites/default/files/product-pipeline/July%2028%202015%20Pipeline%20Update.pdf',,
CHEMBL3545225,INCB-047986,Small molecule,2,None,,None,Tyrosine-protein kinase JAK1 inhibitor,The compound is thought to be JAK1 selective but no selectivity data available.,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL3545225': [{'ref_id': '24818516',,
CHEMBL2106468,TRICETAMIDE,Small molecule,1,None,,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,Tyrosine-protein kinase JAK1 inhibitor,Prodrug of R-507,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL2106468': [{'ref_id': '22971540',,
CHEMBL3622821,UPADACITINIB,Small molecule,4,2019,'-tinib',CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,Tyrosine-protein kinase JAK1 inhibitor,,,CHEMBL2835,Tyrosine-protein kinase JAK1,INHIBITOR,SINGLE PROTEIN,Homo sapiens,,,{'CHEMBL5315119': [{'ref_id': 'https://www.ema.europa.eu/en/documents/product-information/rinvoq-epar-product-information_en.pdf',,
