candidate_id,approved_id,shared_anchor_count,shared_anchors,unit_description,output_image,candidate_xml,approved_xml
mol_0013,mol_0004,4,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,common key scaffold,mol_0013__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0203,mol_0004,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0237,mol_0001,2,GLY_887:HBOND; PHE_886:HBOND,common key scaffold,mol_0237__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0300,mol_0004,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0300__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0300__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0314,mol_0004,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0314__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0314__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0539,mol_0004,1,VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0539__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0539__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0598,mol_0008,4,ARG_879:HBOND; LEU_881:HYDROPHOBIC; PHE_958:HYDROPHOBIC; VAL_889:HYDROPHOBIC,carbonyl/amide linker,mol_0598__vs_mol_0008__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0598__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0008__strict.xml
mol_0726,mol_0002,2,ASP_1021:SALT_BRIDGE; PHE_886:HYDROPHOBIC,carbonyl/amide linker,mol_0726__vs_mol_0002__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0726__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0002__strict.xml
mol_0754,mol_0001,2,GLY_887:HBOND; PHE_886:HBOND,common key scaffold,mol_0754__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0754__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0991,mol_0005,4,ALA_906:HYDROPHOBIC; ASP_1021:SALT_BRIDGE; LEU_1010:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0991__vs_mol_0005__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0991__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0005__strict.xml
