approved_mol_id,approved_smiles,approved_max_phase,approved_docking_score,approved_prediction,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
mol_0000,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,2,-9.6,7.0840125,CHEMBL4577523,GOLIDOCITINIB,2.0,489.58,0.0,2.69,21; AZD4205,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,IC50,'=',130.0,nM,6.89,,,UO_0000065,14.07,0.26,4.2,5.92,0,CHEMBL4406248,Inhibition of JAK1 in human NCI-H1975 cells assessed as decrease in STAT3 phosphorylation measured after 1 hr by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,,,NCI-H1975,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4402602,1,Scientific Literature,J Med Chem,2020.0,CHEMBL3307601,,,,0.13
mol_0000,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,2,-9.6,7.0840125,CHEMBL4577523,GOLIDOCITINIB,2.0,489.58,0.0,2.69,21; AZD4205,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,IC50,'=',70.0,nM,7.16,,,UO_0000065,14.61,0.27,4.46,6.16,0,CHEMBL4406242,Inhibition of recombinant human N-terminal GST-tagged JAK1 (866 to 1154 residues) expressed in insect cells using FITC-labeled C6-KKHTDDGYMPMSPGVA-NH peptide as substrate after 10 mins in presence of 5 mM ATP by caliper mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4402602,1,Scientific Literature,J Med Chem,2020.0,,,,,0.07
mol_0000,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,2,-9.6,7.0840125,CHEMBL4577523,GOLIDOCITINIB,2.0,489.58,0.0,2.69,AZD4205,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,IC50,'=',73.0,nM,7.14,,,UO_0000065,14.58,0.27,4.45,6.14,0,CHEMBL5131643,Inhibition of JAK 1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5131375,1,Scientific Literature,J Med Chem,2022.0,,,INHIBITOR,,73.0
mol_0001,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,3,-8.6,7.7809434,CHEMBL4297477,BREPOCITINIB,3.0,389.41,0.0,1.79,1; PF-06700841,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,IC50,'=',17.0,nM,7.77,,,UO_0000065,19.95,0.38,5.98,9.81,0,CHEMBL5327918,Inhibition of JAK1 JH1 domain (unknown origin) in presence of 1 mM of ATP,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5325475,1,Scientific Literature,J Med Chem,2023.0,,,INHIBITOR,,17.0
mol_0002,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,3,-10.6,8.695062,CHEMBL3622820,ITACITINIB,3.0,553.52,1.0,3.6,28,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,IC50,'=',2.0,nM,8.7,,,UO_0000065,15.72,0.3,5.1,7.27,0,CHEMBL5245516,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5244234,1,Scientific Literature,Eur J Med Chem,2020.0,,,INHIBITOR,,2.0
mol_0002,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,3,-10.6,8.695062,CHEMBL3622820,ITACITINIB,3.0,553.52,1.0,3.6,1,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,IC50,'<=',5.0,nM,,,,UO_0000065,,,,,0,CHEMBL3880334,Inhibition of human N-terminal His-tagged JAK1 catalytic domain (837 to 1142 residues) expressed in baculovirus infected insect cells assessed as decrease in phosphorylation of biotinylated peptide substrate after 1 hr in presence of 1 mM ATP by HTRF method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL3879909,38,SureChEMBL Patent Bioactivity Data,,2014.0,,,,,5.0
mol_0002,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,3,-10.6,8.695062,CHEMBL3622820,ITACITINIB,3.0,553.52,1.0,3.6,INCB039110,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,IC50,'=',2.0,nM,8.7,,,UO_0000065,15.72,0.3,5.1,7.27,1,CHEMBL5131643,Inhibition of JAK 1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5131375,1,Scientific Literature,J Med Chem,2022.0,,,INHIBITOR,,2.0
mol_0003,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,2,-8.8,8.001521,CHEMBL4116008,CERDULATINIB,2.0,445.55,0.0,1.37,91; PRT-062070,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,IC50,'=',12.0,nM,7.92,,,UO_0000065,17.78,0.35,6.55,5.93,0,CHEMBL4272393,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4270539,1,Scientific Literature,J Med Chem,2018.0,,,,,12.0
mol_0003,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,2,-8.8,8.001521,CHEMBL4116008,CERDULATINIB,2.0,445.55,0.0,1.37,23; PRT062070,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,IC50,'=',12.0,nM,7.92,,,UO_0000065,17.78,0.35,6.55,5.93,1,CHEMBL5346983,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5346859,1,Scientific Literature,Eur J Med Chem,2022.0,,,INHIBITOR,,12.0
mol_0003,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,2,-8.8,8.001521,CHEMBL4116008,CERDULATINIB,2.0,445.55,0.0,1.37,15,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,IC50,'=',12.0,nM,7.92,,,UO_0000065,17.78,0.35,6.55,5.93,1,CHEMBL5245516,Inhibition of JAK1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5244234,1,Scientific Literature,Eur J Med Chem,2020.0,,,INHIBITOR,,12.0
mol_0003,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,2,-8.8,8.001521,CHEMBL4116008,CERDULATINIB,2.0,445.55,0.0,1.37,Cerdulatinib,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,IC50,'=',12.0,nM,7.92,,,UO_0000065,17.78,0.35,6.55,5.93,1,CHEMBL5131643,Inhibition of JAK 1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL5131375,1,Scientific Literature,J Med Chem,2022.0,,,INHIBITOR,,12.0
mol_0004,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,4,-8.1,8.344064,CHEMBL1789941,RUXOLITINIB,4.0,306.37,0.0,3.47,INCB018424,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,IC50,'=',6.0,nM,8.22,,,UO_0000065,,,,,1,CHEMBL4685359,Inhibition of recombinant epitope tagged JAK1 (837 to 1142 residues) (unknown origin) using Chk2 as substrate by HTRF assay,A,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL2835,Tyrosine-protein kinase JAK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4680201,1,Scientific Literature,Eur J Med Chem,2020.0,,,INHIBITOR,,6.0
