mol_id,smiles,match_count,molecule_names,chembl_ids,docking_score,prediction,ic50_values
mol_0000,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,3,GOLIDOCITINIB,CHEMBL4577523,-9.6,7.0840125,'='130.0 nM | '='70.0 nM | '='73.0 nM
mol_0001,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,1,BREPOCITINIB,CHEMBL4297477,-8.6,7.7809434,'='17.0 nM
mol_0002,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,3,ITACITINIB,CHEMBL3622820,-10.6,8.695062,'='2.0 nM | '<='5.0 nM | '='2.0 nM
mol_0003,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,4,CERDULATINIB,CHEMBL4116008,-8.8,8.001521,'='12.0 nM | '='12.0 nM | '='12.0 nM | '='12.0 nM
mol_0004,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,30,RUXOLITINIB,CHEMBL1789941,-8.1,8.344064,'='6.0 nM | '='38.0 nM | '='3.3 nM | '='0.09 nM | '='1.2 nM | '='3.3 nM | '='3.0 nM | '='20.0 nM | '='0.6 nM | '='6.0 nM | '='0.43 nM | '='3.3 nM | '='3.0 nM | '='1053.0 nM | '='3.3 nM | '='3.3 nM | '='3.3 nM | '='0.8 nM | '='5.2 nM | '='6.4 nM | '='3000.0 nM | '='3.3 nM | '='40.0 nM | '='4.0 nM | '='3.2 nM | '='3.3 nM | '='3.3 nM | '='7.0 nM | '='1.1 nM | '='6.0 nM
mol_0005,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,17,BARICITINIB,CHEMBL2105759,-7.9,8.392914,'='4.0 nM | '='6.0 nM | '='4.0 nM | '='5.9 nM | '='0.99 nM | '='4.0 nM | '='5.8 nM | '='5.9 nM | '='5.9 nM | '='5.9 nM | '='5.9 nM | '='5.9 nM | '='4.0 nM | '='5.9 nM | '='2.4 nM | '='4.0 nM | '='5.9 nM
mol_0006,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,2,SOLCITINIB,CHEMBL3301606,-10.0,8.048074,'='9.8 nM | '='6.6 nM
mol_0007,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,20,FILGOTINIB,CHEMBL3301607,-10.0,7.2956185,'='10.0 nM | '='363.0 nM | '='636.0 nM | '='48.29 nM | '='47.07 nM | '='55.66 nM | '='33.0 nM | '='16.5 nM | '='10.0 nM | '='50.1 nM | '='26.2 nM | '='10.0 nM | '='1430.0 nM | '='115.0 nM | '='10.0 nM | '='10.0 nM | '='10.0 nM | '='629.0 nM | '='178.0 nM | '='10.0 nM
mol_0008,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,5,MOMELOTINIB,CHEMBL1078178,-9.4,7.889641,'='11.0 nM | '='11.0 nM | '='11.0 nM | '='11.0 nM | '='18.0 nM
mol_0009,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,6,ABROCITINIB,CHEMBL3655081,-7.1,7.119175,'='29.0 nM | '='29.0 nM | '='20.0 nM | '='29.0 nM | '='5.1 nM | '='180.0 nM
mol_0010,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,0,,,-6.5,6.43036,
mol_0011,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,30,UPADACITINIB,CHEMBL3622821,-8.1,7.6581125,'='649.0 nM | '='47.0 nM | '='43.0 nM | '='2.0 nM | '='11.0 nM | '='1.6 nM | '>'3.2 nM | '='47.0 nM | '='10.0 nM | '='22.0 nM | '='11.0 nM | '='43.0 nM | '='43.0 nM | '='8.0 nM | '='45.0 nM | '='19.0 nM | '='8.0 nM | '='14.0 nM | '='43.0 nM | '='78.0 nM | '='4.0 nM | '='0.8 nM | '='43.0 nM | '='47.0 nM | '='47.0 nM | '='207.0 nM | '='45.0 nM | '='43.0 nM | '='47.0 nM | '='3.0 nM
