candidate_id,approved_id,shared_anchor_count,shared_anchors,unit_description,output_image,candidate_xml,approved_xml
mol_0013,mol_0000,2,LEU_881:HYDROPHOBIC; LYS_908:HBOND,heteroaromatic core,mol_0013__vs_mol_0000__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0000__strict.xml
mol_0013,mol_0001,1,GLY_887:HBOND,heteroaromatic core,mol_0013__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0013,mol_0002,2,LEU_1010:HYDROPHOBIC; LEU_959:HBOND,common key scaffold,mol_0013__vs_mol_0002__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0002__strict.xml
mol_0013,mol_0003,4,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0013__vs_mol_0003__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0003__strict.xml
mol_0013,mol_0004,4,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,common key scaffold,mol_0013__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0013,mol_0005,3,LEU_1010:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0013__vs_mol_0005__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0005__strict.xml
mol_0013,mol_0006,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core; carbonyl/amide linker,mol_0013__vs_mol_0006__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0006__strict.xml
mol_0013,mol_0007,4,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0013__vs_mol_0007__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0007__strict.xml
mol_0013,mol_0008,2,LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0013__vs_mol_0008__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0008__strict.xml
mol_0013,mol_0009,2,LEU_1010:HYDROPHOBIC; LEU_959:HBOND,heteroaromatic core,mol_0013__vs_mol_0009__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0009__strict.xml
mol_0013,mol_0010,2,LEU_1010:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core; carbonyl/amide linker,mol_0013__vs_mol_0010__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0010__strict.xml
mol_0013,mol_0011,3,LEU_1010:HYDROPHOBIC; LEU_959:HBOND; VAL_889:HYDROPHOBIC,common key scaffold,mol_0013__vs_mol_0011__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0013__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0011__strict.xml
mol_0203,mol_0000,3,ASP_1021:HBOND; LEU_881:HYDROPHOBIC; LYS_908:HBOND,heteroaromatic core,mol_0203__vs_mol_0000__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0000__strict.xml
mol_0203,mol_0001,2,GLY_887:HBOND; PHE_886:HBOND,common key scaffold,mol_0203__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0203,mol_0002,2,ASP_1021:SALT_BRIDGE; LEU_1010:HYDROPHOBIC,heteroaromatic core; carbonyl/amide linker,mol_0203__vs_mol_0002__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0002__strict.xml
mol_0203,mol_0003,4,ASP_1021:SALT_BRIDGE; LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0003__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0003__strict.xml
mol_0203,mol_0004,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0203,mol_0005,5,ALA_906:HYDROPHOBIC; ASP_1021:HBOND; ASP_1021:SALT_BRIDGE; LEU_1010:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0005__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0005__strict.xml
mol_0203,mol_0006,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core; carbonyl/amide linker,mol_0203__vs_mol_0006__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0006__strict.xml
mol_0203,mol_0007,5,ALA_906:HYDROPHOBIC; ASP_1021:SALT_BRIDGE; LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0203__vs_mol_0007__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0007__strict.xml
mol_0203,mol_0008,2,LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core; carbonyl/amide linker,mol_0203__vs_mol_0008__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0008__strict.xml
mol_0203,mol_0009,1,LEU_1010:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0009__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0009__strict.xml
mol_0203,mol_0010,2,LEU_1010:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0010__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0010__strict.xml
mol_0203,mol_0011,2,LEU_1010:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0203__vs_mol_0011__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0203__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0011__strict.xml
mol_0237,mol_0000,2,ARG_1007:HBOND; LEU_881:HYDROPHOBIC,heteroaromatic core,mol_0237__vs_mol_0000__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0000__strict.xml
mol_0237,mol_0001,2,GLY_887:HBOND; PHE_886:HBOND,common key scaffold,mol_0237__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0237,mol_0002,1,ASP_1021:SALT_BRIDGE,heteroaromatic core,mol_0237__vs_mol_0002__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0002__strict.xml
mol_0237,mol_0003,3,ASP_1021:SALT_BRIDGE; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0237__vs_mol_0003__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0003__strict.xml
mol_0237,mol_0004,3,ARG_1007:HBOND; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,common key scaffold,mol_0237__vs_mol_0004__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0004__strict.xml
mol_0237,mol_0005,3,ALA_906:HYDROPHOBIC; ASP_1021:SALT_BRIDGE; VAL_889:HYDROPHOBIC,common key scaffold,mol_0237__vs_mol_0005__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0005__strict.xml
mol_0237,mol_0006,2,LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0237__vs_mol_0006__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0006__strict.xml
mol_0237,mol_0007,4,ALA_906:HYDROPHOBIC; ASP_1021:SALT_BRIDGE; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0237__vs_mol_0007__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0007__strict.xml
mol_0237,mol_0008,2,LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0237__vs_mol_0008__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0008__strict.xml
mol_0237,mol_0009,1,ARG_1007:HBOND,common key scaffold,mol_0237__vs_mol_0009__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0009__strict.xml
mol_0237,mol_0010,2,ARG_1007:HBOND; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0237__vs_mol_0010__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0010__strict.xml
mol_0237,mol_0011,1,VAL_889:HYDROPHOBIC,common key scaffold,mol_0237__vs_mol_0011__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0237__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0011__strict.xml
mol_0300,mol_0000,2,LEU_881:HYDROPHOBIC; LYS_908:HBOND,heteroaromatic core,mol_0300__vs_mol_0000__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0300__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0000__strict.xml
mol_0300,mol_0001,1,GLY_887:HBOND,common key scaffold,mol_0300__vs_mol_0001__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0300__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0001__strict.xml
mol_0300,mol_0002,1,LEU_1010:HYDROPHOBIC,common key scaffold,mol_0300__vs_mol_0002__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0300__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0002__strict.xml
mol_0300,mol_0003,3,LEU_1010:HYDROPHOBIC; LEU_881:HYDROPHOBIC; VAL_889:HYDROPHOBIC,heteroaromatic core,mol_0300__vs_mol_0003__strict_plip_anchor_common_units.png,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0300__strict.xml,/workspace/aichengwei/code/own/pharmaPrompt/results_analysis/JAK1_strict_plip_anchor/xml/mol_0003__strict.xml
